time,seconds_elapsed,rssi,id,advertisement,manufacturerData,serviceData
1780766604144000000,0.111,-51,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766604179000000,0.146,-52,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766604200000000,0.167,-65,17456af3-1abc-b70d-4363-2579d4c23609,,6cd17a8169c9,
1780766604248000000,0.215,-42,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766604278000000,0.245000244140625,-42,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766604317000000,0.284,-60,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7,
1780766604327000000,0.294,-52,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766604375000000,0.342,-51,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
1780766604402000000,0.368999755859375,-79,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766604721000000,0.688,-59,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766605153000000,1.12,-54,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766605383000000,1.35,-50,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766605398000000,1.365000244140625,-51,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766605414000000,1.381000244140625,-64,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766605674000000,1.640999755859375,-44,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766605702000000,1.669000244140625,-44,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766605759000000,1.726,-67,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766606304000000,2.271,-68,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766606401000000,2.368,-82,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766606496000000,2.463,-72,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766606516000000,2.483,-95,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766606799000000,2.766,-82,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766606825000000,2.792,-62,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766606841000000,2.808,-64,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766607079000000,3.046,-68,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766607207000000,3.174,-69,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
1780766607309000000,3.276,-68,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766607422000000,3.389000244140625,-83,fabfdb62-a618-a0ea-7b1d-2b3b5f9114e9,,,
1780766607615000000,3.582,-83,d7a1c0db-d451-d6a0-3cb7-bd340ebd26e0,,4f090100cd1705000000000000800a809b000048,
1780766607742000000,3.709000244140625,-85,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766607770000000,3.736999755859375,-69,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766607962000000,3.928999755859375,-69,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766607983000000,3.95,-68,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766608153000000,4.12,-68,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766608356000000,4.323,-81,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766608360000000,4.327,-68,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766608866000000,4.832999755859375,-86,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766608888000000,4.855,-70,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
